scopeid,inventarisnummer,aantal_scans
322835,6804,528
322836,6805,670
322837,6806A,381
322838,6806B,469
322839,6807,608
919428,6808A,454
919429,6808B,326
322841,6809,665
322842,6810,520
322843,6811A,396
322844,6811B,282
322845,6812,730
322846,6813,592
322847,6814,444
322848,6815A,288
322849,6815B,471
322850,6816,581
322851,6817A,313
322852,6817B,410
322853,6818,590
322854,6819,446
322855,6820,569
322856,6821,522
322857,6822,585
322858,6823,540
322859,6824,536
322860,6825,726
322861,6826A,308
322862,6826B,493
322863,6827,524
322864,6828A,335
322865,6828B,453
322866,6829,480
322867,6830,465
322868,6831,480
322869,6832,545
322870,6833,533
322871,6834,489
322872,6835,568
322873,6836,554
322874,6837,602
322875,6838,698
322876,6839,467
322877,6840,407
322878,6841,452
322879,6842,576
322880,6843,523
322882,6844,667
322883,6845,814
322884,6846,717
322885,6847,693
322886,6848,837
322887,6849,625
322888,6850,473
322889,6851,505
322890,6852,1189
322891,6853,1134
322892,6854,841
919430,6855,500
919431,6856,458
322895,6857,413
322896,6858,73
322898,6859,666
322899,6860,603
322900,6861,506
322901,6862,642
322903,6863,685
322904,6864,539
322905,6865A,402
322906,6865B,396
322907,6866,424
322908,6867,580
322909,6868A,435
322910,6868B,519
322911,6869,492
322912,6870,608
322913,6871,639
322914,6872,460
322915,6873,126
322916,6874,567
322917,6875,523
322918,6876,424
322919,6877,611
322920,6878,535
322921,6879,569
322922,6880,399
322923,6881,540
322924,6882,577
322925,6883,492
322926,6884,672
322927,6885,645
322928,6886,625
322929,6887,691
322930,6888,797
322931,6889,584
322932,6890,486
322933,6891,482
322934,6892,427
322935,6893,490
322936,6894,430
322937,6895,657
322938,6896,181
57934083,6896A,0
80090356,6897A,0
80090357,6897B,0
80090358,6898A,0
80090359,6898B,0
80090360,6898C,0
80090361,6898D,0
80090392,6899AA,0
80090393,6899AB,0
80090394,6899BA,0
80090395,6899BB,0
80090396,6899BC,0
80090398,6900AA,0
80090399,6900AB,0
80090401,6900BA,0
80090402,6900BB,0
80090403,6901A,0
80090404,6901B,0
80090405,6902A,0
80090406,6902B,0
322949,6903,527
322950,6904,0
322952,6905,0
322953,6906,143
322955,6907,0
322957,6908,0
322958,6909,0
322959,6910,0
322960,6911,292
322961,6912,0
322962,6913,345
322963,6914,0
322964,6915,0
322965,6916,0
322966,6917,0
322967,6918,0
322968,6919,0
322969,6920,0
322970,6921,0
322971,6922,0
919432,6923,0
322974,6924,563
322975,6925,484
322976,6926,371
322978,6927,457
322979,6928,408
322980,6929,518
322981,6930,566
322982,6931,355
322983,6932,192
322984,6933,285
322986,6934,915
322988,6935,554
322989,6936,538
322990,6937,0
322991,6938,361
322992,6939,524
322993,6940,0
322994,6941,651
322995,6942,0
322996,6943,0
322997,6944,838
322998,6945,0
323000,6946,287
323001,6947,0
323002,6948,26
323003,6949,0
919433,6950,0
323006,6950A,0
323007,6950B,0
323008,6950C,0
323011,6951,0
323012,6952,0
323013,6953,0
323014,6954,341
323015,6955,0
323016,6956,0
323017,6957,0
323018,6958,0
323019,6959,0
323020,6960,0
323021,6961,0
323022,6962,556
323023,6963,0
323024,6964,0
323025,6965,0
323026,6966,461
323027,6967,0
919434,6968,0
323028,6968A,0
323029,6968B,0
323030,6968C,0
323031,6969,342
323033,6970,0
323034,6971,0
323037,6972,203
323038,6973,405
323039,6974,440
323040,6975,535
323041,6976,542
323042,6977,534
323043,6978,498
323044,6979,519
323045,6980,435
323046,6981,444
323047,6982,475
323048,6983,363
323049,6984,367
323050,6985,400
323051,6986,491
323052,6987,373
323053,6988,474
323054,6989,251
323055,6990,375
323056,6991,597
323057,6992,448
323058,6993,592
323059,6994,502
323060,6995,661
323061,6996,109
323063,6997,383
323064,6998,423
323065,6999,439
323066,7000,348
323067,7001,331
323068,7002,330
323069,7003,420
323070,7004,390
323071,7005,383
323072,7006,575
323073,7007,559
323074,7008,513
323075,7009,603
323076,7010,637
323077,7011,617
323078,7012,673
323079,7013,643
323080,7014,707
323081,7015,669
323082,7016,599
323083,7017,572
323084,7018,618
323085,7019,646
323086,7020,583
323087,7021,625
323088,7022,550
323089,7023,537
323090,7024,670
323091,7025,689
323092,7026,677
323093,7027,551
323094,7028,680
323095,7029,671
323096,7030,511
323097,7031,501
323098,7032,493
323100,7033,637
323101,7034,448
323102,7035,607
323103,7036,494
323104,7037,662
323105,7038,530
323106,7039,738
323107,7040,604
323108,7041,412
323109,7042,367
323110,7043,513
323111,7044,589
323112,7045,587
323113,7046A,372
323114,7046B,381
323115,7047,486
323116,7048,511
323117,7049,542
323118,7050,581
323119,7051,483
323120,7052,597
323121,7053,660
323122,7054,363
323123,7055,531
323124,7056,488
323125,7057,541
323126,7058,527
323127,7059,661
323128,7060,59
919435,7061A,257
919436,7061B,248
919437,7062A,61
919438,7062B,232
323133,7063,0
323135,7064A,361
323136,7064B,274
323137,7064C,251
323138,7065A,48
323139,7065B,260
323140,7065C,304
323141,7066,253
323142,7067A,0
89841212,7067B,0
323143,7068,411
80095135,7069A,0
80095136,7069B,0
323145,7070A,0
80095238,7070BA,0
80095239,7070BB,0
80095240,7070BC,0
80095241,7071AA,0
80095242,7071AB,0
323148,7071B,0
323149,7071C,0
80095243,7072AA,0
80095244,7072AB,0
80095245,7072BA,0
80095246,7072BB,0
323152,7072C,0
80095247,7073A,0
80095248,7073B,0
80095249,7073C,0
80095250,7074A,0
80095251,7074B,0
80095252,7075A,0
80095253,7075B,0
80095254,7075C,0
80095255,7076A,0
80095256,7076B,0
80095257,7076C,0
323157,7077A,0
80095258,7077BA,0
80095259,7077BB,0
80095260,7077CA,0
80095261,7077CB,0
80095262,7077CC,0
80095263,7078A,0
80095264,7078B,0
80095265,7079A,0
80095266,7079B,0
80095267,7079C,0
80095320,7080A,0
80095321,7080B,0
80095322,7080C,0
80095323,7080D,0
80095324,7081A,0
80095325,7081B,0
80095326,7081C,0
80095327,7082A,0
80095328,7082B,0
80095329,7082C,0
80095331,7083A,0
80095332,7083B,0
80095333,7083C,0
80095334,7084A,0
80095335,7084B,0
80095336,7084C,0
80095338,7085A,0
80095339,7085B,0
80095340,7085C,0
323168,7086A,0
323169,7086B,0
80095341,7087A,0
80095342,7087B,0
80095343,7088A,0
80095344,7088B,0
80095345,7088C,0
80095346,7089A,0
80095347,7089B,0
80095348,7089C,0
80095349,7089D,0
80095350,7090A,0
80095351,7090B,0
80095352,7090C,0
80095353,7091AA,0
80095354,7091AB,0
80095355,7091AC,0
323175,7091B,0
323176,7091C,0
80095356,7092A,0
80095357,7092B,0
323180,7093,754
323181,7094,759
323182,7095,840
323183,7096,738
323184,7097,522
323185,7098,746
323186,7099,552
323187,7100,402
323188,7101,585
323189,7102,744
323190,7103,474
323191,7104,378
323192,7105,830
323193,7106,412
323194,7107,416
323195,7108,381
323196,7109,504
323197,7110,533
323198,7111,623
323199,7112,603
323200,7113,735
323201,7114,536
323202,7115,482
323203,7116,825
323204,7117,691
323205,7118,761
323206,7119,659
323207,7120,813
323208,7121,734
323209,7122,806
323210,7123,681
323211,7124,872
323212,7125,888
323213,7126,742
323214,7127,727
323215,7128,792
323216,7129,670
323217,7130,753
323218,7131,643
323219,7132,543
323220,7133,677
323221,7134,579
323222,7135,512
323223,7136,707
323224,7137,684
323225,7138,640
323226,7139,603
323227,7140,753
323228,7141,742
323229,7142,586
323230,7143,465
323231,7144,546
323232,7145,763
323233,7146,694
323234,7147,678
323235,7148,744
323236,7149,650
323237,7150,486
323238,7151,479
323239,7152,412
323240,7153,626
323241,7154,304
323242,7155,341
323243,7156,267
57933953,7156A,0
323246,7157,759
323247,7158,642
323248,7159,597
323249,7160,292
323250,7161,723
323251,7162,801
323252,7163,627
323253,7164,479
323254,7165,508
323255,7166,761
323256,7167,414
323257,7168,530
323258,7169,688
323259,7170,312
323260,7171,510
323261,7172,518
323262,7173,430
323263,7174,467
323264,7175,672
323265,7176,461
323266,7177,408
323267,7178,521
323268,7179,301
323269,7180,578
323270,7181,705
323271,7182,574
323273,7183,154
323276,7184,416
323277,7185,355
323278,7186,394
323279,7187,372
323280,7188,364
323281,7189,197
323283,7190,663
323284,7191,597
323285,7192,488
323286,7193,418
323287,7194,469
323288,7195,699
323289,7196,640
323290,7197,706
323291,7198,654
323292,7199,640
323293,7200,663
323294,7201,555
323295,7202,370
323296,7203,399
323299,7204,0
323300,7205,0
323301,7206,0
323302,7207,0
323303,7208,0
323304,7209,0
323305,7210,0
323306,7211,0
323307,7212,0
323308,7213,0
323309,7214,0
323310,7215,550
323311,7216,632
323312,7217,0
323313,7218,592
323314,7219,0
323315,7220,0
323316,7221,405
323317,7222,0
323318,7223,0
323319,7224,0
323320,7225,0
323321,7226,0
323322,7227,442
323323,7228,0
323324,7229,0
323325,7230,0
323326,7231,0
323327,7232,0
323328,7233,0
323329,7234,393
323330,7235,0
323331,7236,0
323332,7237,0
323333,7238,0
323334,7239,0
323336,7240,568
323337,7241,577
323338,7242,684
323339,7243,0
323340,7244,527
323341,7245,0
323342,7246,0
323343,7247,0
323344,7248,0
323345,7249,128
57933975,7249A,0
323348,7250,0
323349,7251,381
323350,7252,0
323351,7253,497
323352,7254,0
323353,7255,0
323354,7256,515
323355,7257,0
323356,7258,0
323357,7259,0
323358,7260,527
323359,7261,0
323360,7262,0
323361,7263,0
323362,7264,0
323365,7265,464
323366,7266,603
323367,7267,682
323368,7268,527
323369,7269,647
323370,7270,613
323371,7271,629
323372,7272,744
323375,7273,368
323376,7274,489
323377,7275,591
323378,7276,599
323379,7277,605
323380,7278,552
323381,7279,573
323382,7280,528
323383,7281,501
323384,7282,533
323385,7283,463
323386,7284,572
323387,7285,555
323388,7286,514
323389,7287,576
323390,7288,577
323391,7289,619
323392,7290,620
323393,7291,656
323394,7292,508
323395,7293,504
323396,7294,436
323397,7295,496
323398,7296,410
323399,7297,638
323400,7298,558
323401,7299,521
323402,7300,512
323403,7301,0
323404,7302,510
323405,7303,659
323406,7304,563
323407,7305,484
323408,7306,399
323409,7307,397
323410,7308,411
323411,7309,634
323412,7310,613
323413,7311,706
323414,7312,435
323415,7313,469
323416,7314,394
323417,7315,469
323418,7316,458
323419,7317,380
323420,7318,523
323421,7319,430
323422,7320,513
323423,7321,415
323424,7322,399
323425,7323,379
323426,7324,575
323427,7325,505
323428,7326,497
323429,7327,474
323430,7328,525
323431,7329,505
323432,7330,383
323433,7331,407
323434,7332,710
323435,7333,596
323436,7334,666
323437,7335,561
323438,7336,547
323439,7337,513
323440,7338,491
323441,7339,460
323442,7340,436
323443,7341,570
323444,7342,531
323445,7343,451
323446,7344,435
323449,7345,0
323450,7346,0
323451,7347,0
323452,7348,703
323453,7349,0
323454,7350,0
323455,7351,0
323456,7352,0
323457,7353,478
323458,7354,0
323459,7355,532
323460,7356,0
323461,7357,461
323462,7358,414
323463,7359,607
323464,7360,0
323465,7361,391
323466,7362,685
323467,7363,637
323470,7364,632
323471,7365,620
323472,7366,739
323473,7367,698
323474,7368,891
323475,7369,595
323476,7370,512
323477,7371,597
80095368,7372A,0
80095369,7372B,0
80095370,7372C,0
80095371,7373A,0
80095372,7373B,0
80095373,7373C,0
80095374,7373D,0
80095478,7374A,0
80095479,7374B,0
80095480,7374C,0
80095481,7375A,0
80095482,7375B,0
80095483,7376A,0
80095484,7376B,0
80095485,7376C,0
80095486,7376D,0
80095487,7377A,0
80095488,7377B,0
80095489,7377C,0
80095490,7377D,0
80095506,7378A,0
80095507,7378B,0
80095508,7378C,0
80095509,7378D,0
80095510,7378E,0
80095513,7379A,0
80095514,7379B,0
80095515,7379C,0
80095836,7380A,0
80095837,7380B,0
80095838,7380C,0
80095839,7381A,0
80095840,7381B,0
80095841,7382A,0
80095842,7382B,0
80095843,7382C,0
80095844,7383A,0
80095845,7383B,0
80095846,7383C,0
80095847,7384A,0
80095848,7384B,0
80095849,7384C,0
80095850,7384D,0
80095851,7385A,0
80095852,7385B,0
80095853,7385C,0
80095869,7386A,0
80095870,7386B,0
80095871,7386C,0
80095872,7386D,0
80095874,7387A,0
80095875,7387B,0
80095876,7387C,0
80095877,7388A,0
80095878,7388B,0
80095879,7388C,0
80095880,7388D,0
80095882,7389A,0
80095883,7389B,0
80095884,7389C,0
80095886,7390A,0
80095887,7390B,0
80095888,7390C,0
80095889,7390D,0
80095890,7390E,0
80095898,7391A,0
80095899,7391B,0
80095900,7392A,0
80095901,7392B,0
80095902,7392C,0
323501,7393,0
80095903,7393A,0
80095904,7393B,0
80095905,7393C,0
80095907,7394A,0
80095908,7394B,0
80095909,7394C,0
80095910,7395A,0
80095911,7395B,0
80095912,7395C,0
80095913,7396A,0
80095914,7396B,0
80095915,7396C,0
80095916,7396D,0
80095918,7397A,0
80095919,7397B,0
80095920,7397C,0
80095921,7397D,0
80202309,7398A,0
80202310,7398B,0
323507,7399,0
80202311,7400A,0
80202312,7400B,0
80202313,7400C,0
80202315,7401A,0
80202316,7401B,0
80202317,7401C,0
80202318,7402A,0
80202319,7402B,0
80202320,7402C,0
80202321,7403A,0
80202322,7403B,0
80202323,7403C,0
80202324,7403D,0
80202326,7404A,0
80202327,7404B,0
80202328,7404C,0
80202329,7405A,0
80202330,7405B,0
80202331,7405C,0
80202332,7405D,0
80202334,7406A,0
80202335,7406B,0
80202336,7406C,0
80202337,7407A,0
80202338,7407B,0
80202339,7407C,0
323516,7408,0
80202340,7409AA,0
80202341,7409AB,0
323518,7409B,0
323519,7409C,111
323520,7410A,37
323521,7410B,0
323522,7410C,0
323523,7411,487
323524,7412,708
323525,7413,0
323527,7414,0
323528,7415,0
323529,7416,0
323530,7417,0
323531,7418,0
323532,7419,0
323533,7420,0
323534,7421,0
323535,7422,0
323536,7423,0
323537,7424,0
323538,7425,0
323539,7426,0
323541,7427,0
323542,7428,0
323543,7429,0
323544,7430,0
323545,7431,0
323546,7432,0
323547,7433,0
323548,7434,0
323549,7435,0
323550,7436,0
323551,7437,0
323552,7438,0
323553,7439,0
323554,7440,0
323555,7441,0
323556,7442,0
323557,7443,0
323558,7444,0
323559,7445,0
323560,7446,0
323561,7447,0
323562,7448,0
323563,7449,0
58302665,7449A,0
58302666,7449B,0
323566,7450,419
323567,7451,595
323568,7452,375
323569,7453,422
323570,7454,450
323571,7455,380
323572,7456,372
323573,7457,405
323574,7458,392
323575,7459,456
323576,7460,427
323577,7461,364
323578,7462,473
323579,7463,561
323580,7464,451
323581,7465,439
323582,7466,416
323583,7467,352
323584,7468,432
323585,7469,474
323586,7470,390
323587,7471,438
323588,7472,456
323589,7473,508
323590,7474,619
323591,7475,743
323592,7476A,481
323593,7476B,333
323596,7477,653
323597,7478,440
323598,7479,515
323599,7480,364
323600,7481,406
323601,7482,340
323602,7483,390
323603,7484,436
323604,7485,421
323605,7486,318
323606,7487A,319
323607,7487B,290
323610,7488,357
323611,7489,340
323612,7490,357
323613,7491,448
323614,7492,412
323615,7493,691
323618,7494,296
323619,7495,289
323620,7496,338
323621,7497,517
323622,7498,561
323623,7499,450
323624,7500,360
323625,7501,401
323626,7502,344
323627,7503,543
323628,7504,456
323629,7505,447
323630,7506,420
323631,7507,610
323632,7508,522
323633,7509,535
323634,7510,491
323635,7511,666
323636,7512,538
323637,7513,525
323638,7514,561
57934084,7514A,0
323641,7515,445
323642,7516,641
323643,7517,756
323644,7518A,513
323645,7518B,460
323646,7519A,469
323647,7519B,441
323648,7520,626
323649,7521,723
323650,7522,749
323651,7523,613
323652,7524,534
323653,7525,446
323654,7526,526
323655,7527,561
323656,7528,608
323658,7529,842
323661,7530,458
323662,7531,353
323663,7532,492
323664,7533,588
323665,7534,566
323666,7535,598
323667,7536,641
323668,7537,655
323669,7538,647
323670,7539,718
323671,7540,707
323672,7541,572
323673,7542,706
323674,7543,620
323675,7544,482
323676,7545,484
323677,7546,772
323678,7547,1137
323679,7548,1024
323680,7549,507
323681,7550,690
323682,7551,551
323683,7552,780
323684,7553,588
323685,7554,907
323686,7555,1081
323687,7556,1222
323688,7557,897
323689,7558,862
323690,7559,822
323691,7560,867
323692,7561,835
323693,7562,799
323694,7563,883
323695,7564,878
323696,7565,604
323697,7566,555
323698,7567,491
323699,7568,576
323700,7569,567
323701,7570,520
323702,7571A,434
323703,7571B,476
323704,7572A,510
323705,7572B,552
323706,7573A,415
323707,7573B,675
323708,7574A,549
323709,7574B,616
323710,7575A,425
323711,7575B,570
323712,7576A,534
323713,7576B,541
323714,7577,627
323715,7578,562
323716,7579A,357
323717,7579B,621
323718,7580A,393
323719,7580B,426
323720,7581A,433
323721,7581B,437
323722,7582A,316
323723,7582B,446
323724,7583A,414
323725,7583B,377
323726,7584,693
323727,7585,694
323728,7586,646
323729,7587,1176
323732,7588,624
323733,7589,620
323734,7590,658
323735,7591,471
323736,7592,448
323737,7593,391
323738,7594,464
323739,7595,492
323740,7596,496
323741,7597,542
323742,7598,429
323743,7599,555
323744,7600,601
323745,7601,655
323746,7602,494
323747,7603,441
323748,7604,590
323749,7605,415
323750,7606,441
323751,7607,601
323752,7608,533
323753,7609,546
323754,7610,428
323755,7611,478
323756,7612,458
323757,7613,615
323758,7614,527
323759,7615,547
323760,7616,575
323761,7617,444
323762,7618,471
323763,7619,520
323764,7620,419
323765,7621,462
323766,7622,449
323767,7623,394
323768,7624,567
323769,7625,515
323770,7626,479
323771,7627,533
323772,7628,550
323773,7629,599
323774,7630,504
323775,7631,583
323776,7632,531
323777,7633,534
323778,7634,406
323779,7635,561
323780,7636,665
323781,7637,862
323782,7638,786
323783,7639,811
323784,7640,699
323785,7641,651
323786,7642,570
323787,7643,607
323788,7644,587
323789,7645,784
323790,7646,552
323791,7647,495
323792,7648,573
323793,7649,627
323794,7650,481
323795,7651,568
323796,7652,430
323797,7653,562
323798,7654,498
323799,7655,596
323800,7656,440
323801,7657,464
323802,7658,593
323803,7659,619
323804,7660,505
323805,7661,558
323806,7662,473
323807,7663,540
323808,7664,424
323809,7665,542
323810,7666,404
323811,7667,496
323812,7668,479
323813,7669,508
323814,7670,411
323815,7671,432
323816,7672,309
323817,7673,473
323818,7674,426
323819,7675,504
323820,7676,522
323821,7677,466
323822,7678,510
323823,7679,432
323824,7680,419
323825,7681,376
323826,7682,374
323827,7683,445
323828,7684,334
323829,7685,278
323830,7686,556
323831,7687,549
323832,7688,431
323833,7689,480
323834,7690,619
323835,7691,651
323836,7692,678
323837,7693,340
323838,7694,619
323839,7695,576
323840,7696,542
323841,7697,524
323842,7698,523
323843,7699,407
323844,7700,413
323845,7701,382
323846,7702,306
323847,7703,311
323848,7704,434
323849,7705,562
323850,7706,417
323851,7707,329
323852,7708,467
323853,7709,479
323854,7710,287
323855,7711,187
57934090,7711A,0
57934091,7711B,0
323858,7712,0
323859,7713,0
323860,7714,0
323861,7715,0
323862,7716,0
323863,7717,0
323864,7718,0
323865,7719,0
323866,7720,0
323867,7721,0
323868,7722,0
323869,7723,245
323870,7724,397
323871,7725,258
323872,7726,299
323873,7727,0
323874,7728,0
323875,7729,0
323876,7730,0
323877,7731,242
323878,7732,0
323879,7733,274
323880,7734,0
323881,7735,0
323882,7736,0
323883,7737,0
323884,7738,0
323885,7739,0
323886,7740,0
323887,7741,244
323888,7742,0
323889,7743,0
323890,7744,0
323891,7745,0
323892,7746,0
323893,7747,0
323894,7748,0
323895,7749,0
323896,7750,0
323897,7751,0
323898,7752,0
323899,7753,0
323900,7754,0
323901,7755,274
323902,7756,264
323903,7757,0
323904,7758,0
323905,7759,0
323906,7760,0
323907,7761,0
323908,7762,0
323909,7763,0
323910,7764,0
323911,7765,258
323912,7766,0
323913,7767,0
323914,7768,0
323915,7769,0
323916,7770,0
323917,7771,0
323918,7772,0
323919,7773,286
323920,7774,0
323921,7775,0
323922,7776,0
323923,7777,272
323924,7778,293
323925,7779,230
323926,7780,0
323927,7781,323
323928,7782,0
323929,7783,0
323930,7784,265
323931,7785,0
323932,7786,0
323933,7787,272
323934,7788,0
323935,7789,0
323936,7790,443
323937,7791,0
323938,7792,212
323939,7793,194
323940,7794,0
323941,7795,255
323942,7796,0
323943,7797,0
323944,7798,0
323945,7799,0
323946,7800,0
323947,7801,0
323948,7802,0
323949,7803,0
323950,7804,0
323951,7805,0
323952,7806,0
323953,7807,235
323954,7808,170
323955,7809,0
323956,7810,0
323957,7811,0
323958,7812,0
323959,7813,0
323960,7814,0
323961,7815,0
323962,7816,0
323963,7817,0
323964,7818,0
323965,7819,0
323966,7820,0
323967,7821,340
323968,7822,0
323969,7823,334
323970,7824,0
323971,7825,0
919449,7826A,223
919450,7826B,217
919451,7827A,0
919452,7827B,0
919453,7828A,0
919454,7828B,0
919455,7828C,0
919456,7829A,214
919457,7829B,365
919458,7830A,139
919459,7830B,342
919460,7831A,317
919461,7831B,276
919462,7832A,0
919463,7832B,272
919465,7833A,0
919464,7833B,0
919466,7834A,0
919467,7834B,0
919468,7835A,0
919470,7835B,0
919469,7835C,0
323986,7836,132
323987,7837,263
323988,7838,367
323989,7839,408
323990,7840,417
323991,7841,406
323992,7842,368
323993,7843,707
323994,7844,799
323995,7845,715
323996,7846,720
323997,7847,1013
323998,7848,1109
323999,7849,997
324000,7850,1008
324001,7851,821
324002,7852,988
324003,7853,921
324004,7854,905
324005,7855,526
324006,7856,761
324007,7857,572
324008,7858,600
324009,7859,569
324010,7860,578
324011,7861,525
324012,7862,578
324013,7863,572
324014,7864,476
324015,7865,413
324016,7866,672
324017,7867,680
324018,7868,817
324019,7869,407
324020,7870,483
324021,7871,587
324022,7872,517
324023,7873,593
324024,7874,534
324025,7875,606
324026,7876,480
324027,7877,516
324028,7878,462
324029,7879,453
324030,7880,421
324031,7881,499
324032,7882,501
324033,7883,453
324034,7884,451
324035,7885,675
324036,7886,477
324039,7887,244
324040,7888,0
324041,7889,386
324042,7890,489
324043,7891,482
324044,7892,0
324045,7893,0
324046,7894,0
324047,7895,0
324048,7896,0
324049,7897,0
324050,7898,0
324051,7899,0
324052,7900,0
324053,7901,471
324054,7902,0
324055,7903,0
324056,7904,0
324057,7905,0
324058,7906,0
324059,7907,0
324060,7908,493
324061,7909,0
324062,7910,0
324063,7911,0
324064,7912,400
324065,7913,0
324066,7914,0
324067,7915,339
324068,7916,382
324069,7917,395
324070,7918,0
324071,7919,0
324072,7920,0
324073,7921,0
324074,7922,0
324075,7923,0
324076,7924,0
324077,7925,616
324078,7926,648
324079,7927,722
324080,7928,662
324081,7929,0
324082,7930,685
324083,7931,0
324084,7932,463
324085,7933,465
324086,7934,355
324087,7935,0
324088,7936,0
324089,7937,388
324090,7938,344
324091,7939,0
324092,7940,316
324093,7941,0
324094,7942,0
324095,7943,0
324096,7944,0
324097,7945,0
324100,7946A,337
324101,7946B,305
324102,7946C,255
324103,7947A,385
324104,7947B,348
324105,7948A,289
324106,7948B,375
324107,7949A,410
324108,7949B,370
324109,7950A,0
324110,7950B,318
324111,7950C,0
919471,7951A,0
919472,7951B,0
919473,7951C,225
919474,7952A,214
919476,7952B,259
919475,7952C,234
919477,7953A,0
919478,7953B,0
324115,7954,0
324116,7955,741
324117,7956,533
324118,7957,0
324119,7958,741
324120,7959,0
324121,7960,736
80202830,7961A,0
80202831,7961B,0
80202832,7961C,0
80202833,7961D,0
80202859,7962A,0
80202860,7962B,0
80202861,7962C,0
80202862,7962D,0
80202863,7962E,0
80202864,7962F,0
80202870,7963A,0
80202871,7963B,0
80202872,7963C,0
80202886,7964A,0
80202887,7964B,0
80202888,7964C,0
80202891,7965A,0
80202892,7965B,0
80202893,7965C,0
80202894,7965D,0
324127,7966A,590
100135313,7966B,286
324128,7967A,797
100135314,7967B,384
324129,7968A,422
100135316,7968B,421
324130,7969,0
324131,7970,0
324132,7971A,564
100135317,7971B,567
324133,7972,1018
919479,7973A,424
100135319,7973B,425
324134,7974,742
80202898,7975A,0
80202899,7975B,0
80202900,7975C,0
80202901,7975D,0
80202902,7975E,0
80202924,7976A,0
80202925,7976B,0
80202926,7976C,0
80202928,7977A,0
80202929,7977B,0
80202930,7977C,0
80202931,7977D,0
80202933,7978A,0
80202934,7978B,0
80202935,7978C,0
80202936,7978D,0
80202939,7979A,0
80202940,7979B,0
80202941,7979C,0
324140,7980,748
324141,7981,0
324142,7982,0
324143,7983,851
80202943,7984A,0
80202944,7984B,0
80202945,7984C,0
919480,7985A,0
919481,7985B,0
80202948,7986A,0
80202949,7986B,0
80202950,7986C,0
80202951,7986D,0
80202954,7987A,0
80202955,7987B,0
80202956,7987C,0
80204131,7988A,0
80204132,7988B,0
80204133,7988C,0
324149,7989,0
80204144,7990A,0
80204145,7990B,0
80204146,7990C,0
80204147,7990D,0
80204148,7990E,0
324151,7991,0
324152,7992,0
919482,7993A,0
80204149,7993BA,0
80204150,7993BB,0
919484,7994A,0
80204151,7994BA,0
80204152,7994BB,0
324155,7995,0
80204153,7996AA,0
80204154,7996AB,0
80204155,7996BA,0
80204156,7996BB,0
80204157,7997A,0
80204158,7997B,0
80204159,7997C,0
80204160,7997D,0
919488,7998A,0
80204161,7998BA,0
80204162,7998BB,0
919490,7999A,354
80204163,7999BA,0
80204164,7999BB,0
80204165,7999BC,0
80204166,7999BD,0
324160,8000,602
324161,8001,0
80204167,8002A,0
80204168,8002B,0
80204169,8002C,0
324163,8003,0
80279787,8004A,0
80279788,8004B,0
80279791,8005A,0
80279792,8005B,0
80279793,8005C,0
80279794,8005D,0
324166,8006,761
80279796,8007AA,0
80279797,8007AB,0
80279798,8007AC,0
919493,8007B,365
919494,8008A,0
919495,8008B,380
80279801,8009A,0
80279802,8009B,0
80279803,8009C,0
80279804,8009D,0
80279809,8010A,0
80279810,8010B,0
80279811,8010C,0
324171,8011,992
919496,8012A,0
919497,8012B,0
80279824,8013A,0
80279825,8013B,0
80279826,8013C,0
324174,8014,912
324175,8015,1110
324176,8016,791
324177,8017A,331
100136722,8017B,531
324178,8018,566
324179,8019,0
324180,8020A,545
100136723,8020B,650
324181,8021,0
324182,8022,0
324183,8023,808
324184,8024,0
324185,8025,0
919498,8025A,0
919499,8025B,0
80279831,8026A,0
80279833,8026B,0
80279834,8026C,0
80279839,8027A,0
80279840,8027B,0
80279841,8027C,0
80279844,8028A,0
80279845,8028B,0
80279847,8029A,0
80279848,8029B,0
80279849,8029C,0
80279850,8029D,0
80279851,8029E,0
80279852,8029F,0
80279853,8029G,0
80279854,8029H,0
80279855,8029I,0
80279856,8029J,0
80279863,8030A,0
80279864,8030B,0
80279865,8030C,0
80279866,8030D,0
80279867,8030E,0
324191,8031,0
324192,8032A,329
100136725,8032B,608
324193,8033A,301
100136741,8033B,566
324194,8034A,590
100136759,8034B,259
324195,8035,0
324196,8036,0
324197,8037,0
80279868,8038A,0
80279869,8038B,0
80279870,8038C,0
80279871,8038D,0
80279874,8039A,0
80279875,8039B,0
80279876,8039C,0
80279878,8040A,0
80279879,8040B,0
80279880,8040C,0
324201,8041,0
324202,8042A,0
89841209,8042B,0
80279881,8043A,0
80279882,8043B,0
80279883,8043C,0
80279884,8043D,0
80279885,8043E,0
80279886,8043F,0
80279888,8044A,0
80279889,8044B,0
80279890,8044C,0
80279891,8045A,0
80279892,8045B,0
80279893,8045C,0
80279894,8045D,0
80279895,8045E,0
80279896,8045F,0
324206,8046,695
80432310,8047A,0
80432311,8047B,0
80432312,8047C,0
80432343,8048A,0
80432344,8048B,0
80432345,8048C,0
80432346,8049A,0
80432347,8049B,0
80432348,8049C,0
80432349,8049D,0
80432352,8050A,0
80432353,8050B,0
80432354,8050C,0
80432355,8050D,0
80432356,8051A,0
80432357,8051B,0
80432358,8051C,0
324212,8052,608
80432359,8053A,0
80432360,8053B,0
80432361,8053C,0
80432362,8053D,0
80432363,8053E,0
80432364,8054A,0
80432365,8054B,0
80432366,8054C,0
80432401,8055A,0
80432402,8055B,0
80432403,8055C,0
80432404,8055D,0
