scopeid,inventarisnummer,aantal_scans
64701629,365BB,231
64701630,366AA,267
64701631,366AB,313
314387,366B,860
314388,367A,514
314389,367B,0
314390,368A,354
314391,368B,442
314392,369A,504
314393,369B,0
314394,370A,0
314395,370B,365
314396,371A,0
64701632,371BA,596
64701633,371BB,386
64701634,371BC,192
64701640,372A,383
64701641,372B,370
64701642,372C,426
64701643,373A,414
64701644,373B,481
64701645,373C,249
313879,374,605
313882,375,642
313883,376,650
313884,377A,357
313885,377B,372
313886,378A,364
313887,378B,372
313888,379,654
313889,380A,366
313890,380B,404
313891,381A,435
313892,381B,374
313893,382,309
313894,383A,388
313895,383B,329
313896,384A,371
313897,384B,296
313898,385A,332
313899,385B,441
313900,386,512
313901,387,386
313902,388,557
313903,389,635
313904,390,550
313905,391,612
313906,392A,283
313907,392B,362
313908,393A,331
313909,393B,338
313910,394A,288
313911,394B,308
313912,395A,389
313913,395B,394
313914,396,625
313915,397A,526
313916,397B,545
313917,398A,377
313918,398B,356
313919,399A,381
313920,399B,373
313921,400A,334
313922,400B,312
313923,401A,274
313924,401B,470
313925,402,393
313926,403,575
313927,404,485
313928,405,543
313929,406A,431
313930,406B,262
313931,407A,347
313932,407B,375
313933,408A,357
313934,408B,349
313935,409,563
313936,410A,460
313937,410B,399
313938,411,488
313939,412A,309
313940,412B,326
313941,413A,387
313942,413B,339
313943,414A,422
313944,414B,414
313945,415,706
313946,416,624
313947,417,677
313948,418A,358
313949,418B,431
313950,419A,499
313951,419B,321
313952,420A,337
313953,420B,452
313954,421,530
313955,422,507
313956,423,641
313957,424,612
314402,425,242
314403,426,242
314404,427,237
314405,428,234
314406,429,233
314407,430,244
314408,431,253
314409,432,303
314410,433,353
314411,434,308
314412,435,332
314413,436,370
314414,437,373
314415,438,386
314416,439,338
314417,440,303
314418,441,290
314419,442,329
314420,443,353
314421,444,329
314422,445,311
314423,446,328
314424,447,332
314425,448,212
314426,449,363
314427,450,334
314428,451,176
314430,452,904
